"* Required Fields","* Erforderliche Felder"
"Please enter here the number on your card.","Bitte geben Sie hier die Kartennummer Ihrer Kreditkarte ein."
"Please enter here the sales tax number of your company.","Bitte tragen Sie hier die Steuernummer Ihrer Firma ein."
"Please enter here your social security number.","Bitte geben Sie hier Ihre Sozialversicherungsnummer ein."
"Please enter the BIC number.","Bitte geben Sie die BIC ein."
"Please enter the location of your bank.","Bitte geben Sie den Standort Ihrer Bank ein."
"Please enter the name of your bank.","Bitte geben Sie hier den Namen Ihrer Bank ein."
"Please enter your IBAN number.","Bitte geben Sie Ihre IBAN ein."
"Please enter your issue number, if there is no CVC code on your card.","Bitte geben Sie die Ausgabenummer von Ihrer Karte ein, falls Sie keinen CVC auf Ihrer Karte haben."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Bitte deaktivieren Sie Cache und versuchen Sie es erneut. Sollte dies nicht helfen, ändern Sie die Autorisationsmethode zu PaymentPage und <a href=""%s"" target=""_blank"">kontaktieren Sie sellXed</a>."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Bitte leeren oder deaktivieren Sie den Cache-Speicher und versuchen Sie es erneut. Falls dies nicht hilft, ändern Sie die Autorisationsmethode zu Payment Page und <a href=""%s"" target=""_blank"">kontaktieren Sie sellXed</a>.', 'http://www.sellxed.com/en/support"
"Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Bitte entleeren oder deaktivieren Sie Ihren Cache und versuchen Sie es erneut. Falls es immer noch nicht klappt, ändern Sie die Autorisierungsmethode zu PaymentPage und kontaktieren Sie <a href=""%s"" target=""_blank"">sellxed</a>."
"Please log in below:","Bitte loggen Sie sich ein:"
"Please select","-- Bitte wählen --"
"Please select a shipping method before sending the order.","Bitte wählen Sie vor dem Übermitteln der Bestellung eine Versandmethode aus."
"Please select the Bank Identifier Code (BIC) of your bank.","Wählen Sie einen BIC (Bank Identifier Code) Ihrer Bank."
"Please select the day of your birth.","Bitte wählen Sie den Tag Ihrer Geburt aus."
"Please select the expiry month on your card.","Bitte wählen Sie den Monat des Ablaufdatums auf Ihrer Kreditkarte aus."
"Please select the expiry year on your card.","Bitte geben Sie das Ablaufdatum der Karte ein."
"Please select the month of your birth.","Bitte wählen Sie den Monat Ihrer Geburt aus."
"Please select the the year of your birth.","Bitte wählen Sie das Jahr Ihrer Geburt aus."
"Please send the notification URL and the IP address of the server to <a href='mailto:support@realexpayments.com'>support@realexpayments.com</a>. You can find both information below.","Bitte schicken Sie die Notification URL und die IP Adresse des Servers an href='mailto:support@realexpayments.com'>support@realexpayments.com</a>. Sie finden diese Informationen weiter unten auf dieser Seite."
"Please wait, processing your order...","Bitte warten, während die Bestellung verarbeitet wird..."
"Price","Preis"
"Product","Produkt"
"Product Name","Produktname"
"Purchase Point","Einkaufsort"
"Qty","Anzahl"
"RealVault Security Measure","RealVault Sicherheitsmassnahmen"
"Rebate Password","Rebate Password"
"Recurring Payments","Abo Zahlungen"
"Recurring Sequences","Recurring Sequences"
"Redirect","Weiterleitung"
"Refund Amount","Rückerstattungsbetrag"
"Refund ID","Rückvergütungs ID"
"Refund amount","Rückerstattungsbetrag"
"Refund failed with message: !message","Die Rückerstattung ist fehlgeschlagen. Die Fehlermeldung lautet: !message"
"Refund information","Informationen zur Gutschrift"
"Refund status","Gutschriftsstatus"
"Refunded Amount","Rückerstattungsbetrag"
"Refunds","Gutschrift"
"Register","Registireren"
"Register to Create an Account","Registrieren, um ein Benutzerkonto zu erstellen"
"Register with us for future convenience:","Registrieren Sie sich bei uns für zukünftigen Komfort:"
"Release Date","Erscheinungsdatum"
"Review","Übersicht"
"Rounding Adjustment","Rundungskorrekturen"
"Row Total","Zeilensumme"
"SEPA Mandate ID","SEPA Mandats ID"
"SHA1","SHA-1"
"SKU:","SKU:"
"Sales","Verkäufe"
"Sales Tax Number","Steuer Nummer"
"Save","Speichern"
"Saved cards:","Gespeicherte Karten:"
"See order and shipping status","Bestell- und Versandstatus ansehen"
"Select Brand","Wählen Sie den Kartentyp aus."
"Select Method","Methode auswählen"
"Select the authorization method to use for processing this payment method.","Wählen Sie bitte die Autorisierungsmethode für diese Zahlweise. (Bitte beachten Sie, dass die Hidden Autorisierung für Kreditkarten (sofern vorhanden) zusätzliche Zertifizerungsanforderungen mit sich bringt SAQ-A-EP. Für weitere Informationen kontkatieren Sie bitte Realex)."
"Select the date of your birth.","Wählen Sie Ihr Geburtsdatum."
"Select the date on which your card expires.","Wählen Sie das Kartenablaufdatum."
"Send Invoice Email","Rechnungs-E-Mail senden"
"Send amounts to Realex in base currency.","Den Betrag an Realex  in der Standard Währung setteln"
"Send amounts to Realex in store's base currency.","Beträge in der Basiswährung des Shops an Realex senden."
"Send invoice email","Rechnungsmail versenden"
"Send the invoice email automatically after invoice creation.","Soll das Rechnungsemail direkt nach dem Erstellen der Rechnung versendet werden?"
"Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Wenn Sie 'Direkte Buchung' wählen, wird die Autorisierung direkt von der Kredit Karte des Kunden abgebucht. Bei 'Verzögerte Buchung' wird der Betrag verzögert zu einem von Ihnen definierten Zeitpunkt verbucht."
"Set the sort order to show the external checkouts.","Legen Sie die Reihenfolge fest, in der externe Checkouts angezeigt werden sollen."
"Settlement after order","Erstellung nach der Bestellung"
"Setup","Setup"
"Shipping & Handling","Shipping & Handling"
"Shipping Address","Lieferadresse"
"Shipping Amount","Lieferkosten"
"Shipping Information","Versandinformationen"
"Shipping Method","Versandmethode"
"Shipping Methods","Versandmethoden"
"Shipping Refund","Rückerstattung der Lieferkosten"
"Shop","Shop"
"Shop ID","Shop ID"
"Short Installation Instructions:","Kurzinstruktionen:"
"Should the amount be captured / settled automatically after the order (auto settle) or should the amount only be reserved?","Soll der Betrag nach der Bestellung automatisch abgesendet (direkt) oder nur reserviert werden (verzögert)?"
"Show","Anzeigen"
"Show Account Selection","Account-Auswahl anzeigen"
"Show Further Settings and Information","Weitere Einstellungen und Informationen zeigen"
"Show Image","Bild anzeigen"
"Show Payment Id","Payment ID anzeigen"
"Show the payment id","Anzeigen der Zahlungs ID"
"Show the payment id in the order information","Zahlungs ID in der Bestellinformation anzeigen"
"Show the payment image","Anzeigen der Zahlungslogos"
"Show the payment image on the checkout page","Zahlungslogos im Checkout anzeigen"
"Sign In","Anmelden"
"Signature Passphrase","Signature Passphrase"
"Social Security Number","Sozialversicherungsnummer"
"Sort Order","Sortierreihenfolgen"
"Status","Status"
"Store the payment details","Speichere Zahlungsdaten"
"Stored payment details","Gespeicherte Zahlungsdetails"
"Subacount","Unterkonto"
"Submit Order","Bestellung absenden"
"Submitting order information...","Bestellungsinformation übermitteln..."
"Subtotal","Zwischensumme"
"Success","Erfolgreich"
"Successful","Erfolgreich"
"Successful online refund of amount","Der Betrag wurde online erfolgreich zurückerstattet."
"Successful payment authorization.","Die Zahlung wurde erfolgreich autorisiert."
"Successfull online refund of amount","Der Betrag wurde online erfolgreich zurückerstattet."
"Support","Support"
"TSS (Transaction Suitability Scoring) system","TSS (Transaction Suitability Scoring) System"
"TSS Value","TSS Wert"
"TSS lower bound","TSS Untergrenze"
"Tax Amount","Steuerbetrag"
"Technical issue: This payment methods is not available at the moment.","Technisches Problem: Diese Zahlungsmethode ist zur Zeit nicht verfügbar."
"Template URL","Template URL"
"Test Environment","Testumgebung"
"Test Mode","Test Modus"
"Test Mode in Live Environment","Testmodus in der Live-Umgebung"
"Test Transaction","Testtransaktion"
"The 3-D secure authorization failed because of temporary issue with the authentication system.","Die 3D Secure Autorisierung ist aufgrund eines vorübergehenden Problems mit dem Authentifizierungssystem fehlgeschlagen."
"The 3-D secure authorization failed.","3D Secure ist fehlgeschlagen."
"The 3-D secure enrollement status of your card could not be checked.","Der Status der 3D Secure Anmeldung Ihrer Karte konnte nicht überprüft werden."
"The 3-D secure enrollment does not return the ASC URL or the ASC pareq parameter.","Die 3D Secure Anmeldung antwortet nicht mit der ASC URL oder dem ASC Pareq Parameter."
"The HMAC key as defined in the live backoffice of Realex. You may need generate the HMAC key. Please take a look at the manual how to do this.","Der HMAC Key ist im Live Backoffice von Realex angegeben. Eventuell müssen Sie den HMAC Key noch generieren. Eine Anleitung dazu finden Sie im Manual."
"The Paymentmethod the customer choose on the paymentpage.","Die Zahlungsmethode, die der Kunde auf der Payment Page auswählt."
"The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Das SEPA Mandat Scheme enthält leider nich die Bezeichnung '!tag'. Diese Bezeichnung ist aber Pflicht."
"The account has been deactivated by Realex.","Der Account wurde von Realex deaktiviert."
"The alias could not be found.","Der Alias konnte nicht gefunden werden."
"The alias has been deleted.","Der Alias wurde gelöscht"
"The alias transaction could not be conductet with error code: !code, and reason: !reason:","Die Alias Transaktion konnte nicht durchgeführt werden. Fehlermeldung: !code und Grund: !reason."
"The amount cannot be charged on the customer's card.","Der Betrag kann der Karte des Kundern nicht belastet werden."
"The amount cannot be charged on your card.","Der Betrag kann der Karte nicht belastet werden."
"The amount could not be verified.","Der Betrag konnte nicht verifiziert werden."
"The amount in the choosen currency could not be charged.","Der Betrag kann in der angegenen Währung nicht abgebucht werden."
"The amount in the given currency could not be charged.","Der Betrag kann in der angegenen Währung nicht abgebucht werden."
"The amount of !amount is authorized.","Der Betrag von '!amount' wurde autorisiert."
"The amount of !amount is captured.","Der Betrag von !amount ist verbucht."
"The authorizaltion could not be done.","The authorizaltion could not be done."
"The authorization at the bank failed.","Die Autorisierung bei der Bank ist fehlgeschlagen."
"The authorization could not be done.","Die Autorisierung konnte nicht durchgeführt werden."
"The authorization failed. May be the Switch Card isssue number is wrong.","Die Autorisation ist fehlgeschlagen. Möglicherweise ist die Ausstellungsnummer der Switch Card falsch."
"The authorization method '!method' is not supported.","Die Autorisierungsmethode '!method' ist nicht unterstützt."
"The authorization was not successful","Autorisierungsfehler. Die Autorisierung war nicht erfolgreich."
"The bank has a scheduled maintenance outage.","Die Bank führt eine geplante Wartungsunterbrechung durch."
"The bank refuse the transaction. Reason: !reason","Die Bank hat die Transaktion abgelehnt. Grund: !reason"
"The bank reports an unkown error.","Die Bank meldet einen unbekannten Fehler."
"The bank system seems to be down to an unkown reason.","Das Banksystem ist aus unbekanntem Grund nicht erreichbar."
"The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","Der Kreditkartenanbieter wird anhand der Kartennummer falls Hidden Authorization benutzt wird. Wird die Zahlungsseite (Payment Page) benutzt, muss der Nutzer den Anbieter manuell auswählen. Über diese Einstellung können auch die akzeptierten Kreditkartenanbieter eingeschränkt werden."
"The brand of the credit card is detected by the card number if server/remote authorization is used. If the payment-page/redirect is used, the user has to select the brand. The allowed credit card brands can be restricted by this selection.","Der Kreditkartenanbieter wird anhand der Kartennummer identifiziert, wenn Server/Remote Autorisierung benutzt wird. Wird die Payment Page/Redirect benutzt, muss der Nutzer den Anbieter auswählen. Die akzeptierten Kreditkarten können über diese Einstellung eingeschränkt werden."
"The brand with external name '!key' was not present in the map.","Der Kreditkartenbrand mit dem Namen '!key' konnte nicht zugeordnet werden."
"The brand with key '!key' was not found in the card information map.","Der Kreditkarten Brand mit dem '!key' wurde nicht gefunden in der Karteninformationsmap."
"The calculated and returned hash do not match.","Die berechnete und der erhaltene Hash-Wert stimmen nicht überein."
"The cancellation could not be conducted. Error code: !error.","Die Stornierung konnte nicht durchgeführt werden. Fehlercode: !error."
"The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","Der Verbuchungsbetrag von '!captureAmount' kann nicht grösser sein als der autorisierte Betrag von '!authorizedAmount'."
"The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Der verbuchte Artikel mit der Bestandseinheit @sku hat einen höheren Wert (@amountItem) als der ursprüngliche Artikel (@amountOriginal)."
"The capture item with SKU '@sku' is not present in the original order.","Der verbuchte Artikel mit der Bestandseinheit @sku ist in der ursprünglichen Bestellung nicht vorhanden."
"The capturing could not be conducted. Error code: !error.","Die Verbuchung konnte nicht durchgeführt werden. Fehlercode: !error."
"The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","Die Auswahl des Kartenanbieters wird abhängig von der eingegebenen Kartennummer automatisch durchgeführt. Falls JavaScript im Browser nicht aktiviert ist, wird ein Dropdown-Menü angezeigt. Ist JavaScript aktiv, können die Logos der Anbieter gezeigt werden, sofern die Image Brand Selection aktiviert ist."
"The configuration has been saved.","Die Konfiguration wurde gespeichert."
"The configured merchant was not found.","Der angegebene Händler konnte nicht gefunden werden."
"The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","Die Controller Class '@controller' bietet keine Methode mit der Beschriftung 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' und gültigem Output."
"The customer does not finish the payment with in the timeout.","Der Kunde hat die Zahlung nicht innerhalb des Timeouts abgeschlossen."
"The customer's card has been cancelled.","Die Karte des Kunden ist nicht mehr gültig."
"The customer's card is expired.","Die Karte des Kunden ist abgelaufen."
"The customer's card number seems to be invalid.","Die Kartennummer des Kunden scheint ungültig zu sein."
"The customer's has been declined by a unkown reason.","Die Karte des Kunden ist aus unbekanntem Grund abgelehnt worden."
"The customers's card is reported to be stolen or lost.","Die Karte des Kunden ist als gestohlen oder verloren gemeldet."
"The date of birth is required.","Das Geburtsdatum muss angegeben werden."
"The entered CVC is too short.","Der angegebene CVC Code ist zu kurz."
"The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.","Das Ablaufdatumsformat ist '!format', wobei 'MM' für den Monat steht und 'YY' für das Jahr."
"The expiry date is in a invalid format.","Das Ablaufdatum ist ungültig"
"The field '!field' is to short. It should be (at least) !length characters long. Please contact us to check why your order fails.","Das Feld !field ist zu kurz. Es sollte mindestens !lenght Zeichen lang sein. Bitte kontaktieren Sie uns um herauszufinden, warum Ihre Bestellung nicht verarbeitet werden kann."
"The gender is required.","Geschlecht muss angegeben werden."
"The given CVC code has the wrong length.","Der angegebene CVC Code hat eine ungültige Länge."
"The given card number has an invalid check sum.","Die angegebene Kartennummer hat eine ungültige Check Summe."
"The given card number has an invalid length.","Die angegebene Kartennummer hat eine ungültige Länge."
"The given hmac key is empty.","Der HMAC Key ist ungültig."
"The given identifier is empty.","Der Identifier ist ungültig."
"The given password is empty.","Das Passwort ist ungültig."
"The given rang is empty. It must be a nummeric value with length of two.","Der gegebene Rang ist leer. Er muss eine zweistellige Nummer sein."
"The given rang is invalid. It must be a nummeric value with length of two.","Der gegebene Rang ist ungültig. Er muss eine zweistellige Nummer sein."
"The given site number is empty.","Es wurde keine Seitenzahl angegeben."
"The identifier as defined in the backoffice of Realex.","Der Identifier, wie er im Realex Backoffice angegeben ist."
"The invoice could not be captured and processed by","Die Rechung konnte bei Realex nicht gebucht und verarbeitet werden"
"The invoice could not be captured and processed. Reason:","Die Rechnung konnte nicht verbucht und verarbeitet werden. Grund: !reason."
"The invoice could not be found.","Die Rechung konnte nicht gefunden werden."
"The invoice has been changed.","Die Rechnung wurde geändert."
"The invoice no longer exists.","Die Rechnung existiert nicht mehr."
"The issuer number for your Switch Card seems to be wrong.","Die Ausstellungsnummer Ihrer Switch Card scheint falsch zu sein."
"The layout does not contain the tag '!layout_tag'.","Das Layout enhält nicht den Tag '!layout_tag'."
"The merchant ID as given by your Payment-Service-Provider (Realex).","Die Händler ID, die Sie von Ihrem Payment Service Provider (Realex) erhalten haben."
"The merchant seems not be authorized to execute the transaction.","Der Händler scheint für die Durchführung dieser Transaktion nicht autorisiert zu sein."
"The next update execution date indicates when the next cron is run to update the transaction state.","Das nächste Ausführungsdatum für upades zeigt Ihnen an, wann der nächste cron für das Update des Transaktionsstatus läuft."
"The order is not fully completed. Please contact the store owner.","Die Zahlung konnte nicht durchgeführt werden."
"The password key given by Realex which is needed in order to perform a refund.","Das Realex Passwort das Sie für die Durchführung von Rückerstattungen benötigen."
"The payment failed. The response data has been tampered. Please contact the merchant.","Die Zahlung ist fehlgeschlagen. Die Rückmeldung wurde manipuliert. Bitte kontaktieren Sie den Händler."
"The payment form will be displayed after submitting the order.","Das Bezahlformular wird nach dem Absenden der Bestellung angezeigt."
"The payment has been accepted.","Die Zahlung wurde akzeptiert"
"The payment has been denied.","Die Zahlung wurde abgelehnt."
"The payment method !paymentMethodName does not support the currency '!currency'.","Die Zahlweise '!paymentMethodName' unterstützt die Währung '!currency' nicht."
"The payment method !paymentMethodName is not available in your country ('!country').","Die Zahlungsmethode '!paymentMethodName' ist in Ihrem Land ('!country') nicht verfügbar."
"The payment update has been made.","Das Zahlungsupdate wurde ausgeführt."
"The paymnet system seems currently to be offline. Please try it later again.","Das Zahlugnssystem scheint zurzeit offline zu sein. Bitte versuchen Sie es später noch einmal."
"The provided signature does not match with the one calculated.","Die eingegeben Signatur stimmt nicht mit der berechneten Signatur überein."
"The rang (PBX_RANG) as defined in the live backoffice of Realex. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","Der Rang (PBX_RANG), wie er im Live Backoffice von Realex_ angegeben ist. Er muss eine zweistellige Nummer sein. Im Backoffice wird er eventuell als dreistelliger Wert angezeigt. Sie müssen die erste Ziffer streichen."
"The redirect response from PayPal was unsuccessful.","Die Weiterleitung von PayPal war nicht erfolgreich."
"The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Der zurückerstattete Artikel mit der Bestandseinheit @sku hat einen höheren Betrag (@amountItem) als der ursprüngliche Artikel (@amountOriginal)."
"The refund item with SKU '@sku' is not present in the original order.","Der zurückerstattete Artikel mit der Bestandseinheit @sku ist in der ursprünglichen Bestellung nicht enthalten."
"The refunding could not be conducted. Error code: !error.","Die Rückerstattung konnte nicht durchgeführt werden. Fehlercode: !error."
"The response hash seems to be manipulated, hence the transaction was rejected.","Der Rückmeldungs-Hash wurde manipuliert, weshalb die Transaktion abgewiesen wurde."
"The response seems to be manipulated, hence the transaction was rejected.","Die Transaktion wurde abgewiesen, da die Rückmeldung manipuliert zu sein scheint."
"The retailer is not known.","Der Händler ist unbekannt."
"The shopping cart has been altered!","Der Warenkorb wurde verändert!"
"The signature could not be verified.","Die Signatur konnte nicht verifiziert werden."
"The signature key given by Realex .","Der Signature Key von Realex"
"The site id (PBX_RANG) as defined in the backoffice of Realex.","Die Site ID (PBX_RANG) wie Sie im Backoffice von Realex angegeben ist."
"The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","Der Totale gutzuschreibende Betrag von '!totalRefundedAmount' kann nicht grösser sein als der verbuchte Betrag von '!capturedAmount'."
"The transaction cannot be cancelled online.","Die Transaktion kann nicht online storniert werden."
"The transaction cannot be captured online.","Die Transaktion kann nicht online erfasst werden."
"The transaction cannot be refunded online.","Die Transaktion kann nicht online zurückerstattet werden."
"The transaction failed due to an unkown reason.","Die Transaktion ist aus unbekannten Gründen fehlgeschlagen"
"The transaction failed with error code !code.","Die Transaktion ist fehlgeschlagen. Fehlermeldung: !code"
"The transaction is only executed in the test system. The goods should not be delivered.","Die Transaktion wird nur im Testsystem durchgeführt. Die Waren sollen nicht geliefert werden."
"The transaction was not valid. The bank refuse it.","Die Transaktion war ungültig. Die Bank hat sie abgelehnt."
"The transactions with one of the selected CVN Reuslts will be marked as uncertain. (Here Realex-Payment recommend 'CVN Not Matched' and 'CVN Not Processed')","Die Transaktionen mit einer der ausgewählten CVN Resultate wird als unsicher markiert. (Hier empfiehlt Realex 'CVN Not Matched' oder 'CVN Not Processed'.)"
"The transactions with one of the selected CVN Reuslts will be marked as uncertain. (Here Realex recommend 'CVN Not Matched' and 'CVN Not Processed')","The transactions with one of the selected CVN Reuslts will be marked as uncertain. (Here Realex recommend 'CVN Not Matched' and 'CVN Not Processed')"
"The whole transaction is cancelled.","Die gesamte Transaktion wurde storniert."
"There has been a problem during the processing of your payment.","Während der Verarbeitung der Zahlung ist ein Problem aufgetreten."
"There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Während der Verarbeitung der Zahlung ist ein Problem aufgetreten. Bitte kontaktieren Sie den Shop-Betreiber um sicherzugehen, dass die Bestellung erfolgreich erfasst wurde."
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","Es besteht ein Problem mit Ihrer Lizenz. Bitte kontaktieren Sie uns (www.sellxed.com/support). Reason: %1"
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Es ist bereits ein Kunde mit dieser E-Mail-Adresse registriert. Bitte mit dieser E-Mail-Adresse anmelden, oder eine andere E-Mail-Adresse eingeben um ihren Account zu registrieren."
"There occours a network outage at the bank side.","Auf seiten der Bank ist ein Netzwerkausfall aufgetreten."
"There occours an error with the payment system.","Beim Zahlungssystem ist ein Fehler aufgetreten."
"There seems to be a problem with the Realex module.","Es scheint ein Problem mit dem Realex-Modul  zu geben."
"There seems to be an error in the implementation of the payment module. Details: '!details'.","Es scheint ein Problem bei der Implementation des Zahlungsmoduls gegeben zu haben. Details: '!details'."
"There seems to be an error of your Realex account. Details: '!details'.","Es scheint ein Problem mit Ihrem Realex Account zu geben. Details: '!details'."
"There was an error validating the login and password.","Ein Fehler ist bei der Validierung der Logindaten und des Passworts aufgetreten."
"There was no PayPal token returned. Please contact your merchant.","Es wurde kein PayPal Token zurückgesendet. Bitte kontaktieren Sie den Händler."
"This URL has to be placed in the backend of Realex under Configuration > Technical Information > Transaction Feedback and their in the two fields for 'Direct HTTP server-to-server request'.","Diese URL muss im Backend von Realex in die zwei Felder für 'Direct HTTP server-to-server request' unter Configuration > Technical Information > Transaction Feedback  eingefügt werden."
"This URL has to be reported to Realex. The transaction notification must be sent to this URL.","Diese URL muss an Realex weitergeleitet werden. Die Transaktionsbenachrichtigung muss an diese URL gesendet werden."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Dieser Account ist nicht verifiziert. <a href=""%s"">Klicken Sie hier</a> um die Bestätigungsemail erneut zu versenden."
"This is a brief instruction of the main and most important installation steps, which need to be performed when installing the Realex module. For detailed instructions regarding additional and optional settings, please refer to the enclosed instructions in the zip.","Hier finden Sie eine Kurzinstruktion durch die wichtigsten Schritte, welch es bei der Installation des Realex  Moduls zu beachten gilt. Eine ausführliche Anleitung zu den einzelnen Einstellung entnehmen Sie bitte der im Zip beigelegten Anleitung."
"This is the URL required by the Skin Creator","Diese URL wird von Skin Creator benötigt."
"This is the name of the account holder).","Der Name des Kontoinhabers."
"This is the technical alias token (Alias Manger/Realvault).","Technischer Alias Token (Alias Manager/RealVault)"
"This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Realex account.","Dieses Passwort wird für wiederkehrende Zahlungen sowie für den Alias Manager und die Service Autorisierung benutzt. Dies ist das Passwort für den Realex Account."
"This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","Anhand dieser Einstellung können Sie die 3D Secure Überprüfung aktivieren bzw. deaktivieren. Bitte fragen Sie bei Paybox an, ob sie 3D Secure deaktivieren dürfen. Diese Einstellung ist nur relevant, wenn Sie Payment Page benutzen."
"This status is set, when the payment was successfull and it is authorized.","Dieser Status wird vergeben, wenn eine Zahlung erfolgreich war und autorisiert wurde."
"This transaction is already closed for further captures.","Diese Transaktion ist bereits geschlossen und es können keine weiteren Buchungen vorgenommen werden."
"This transaction is already closed for further refunds.","Diese Transaktion wurde für weitere Gutschriften bereits geschlossen."
"This transaction no longer exists.","Diese Transaktion existiert nicht mehr."
"Timeout for pending payments (min)","Timeout für ausstehende Zahlungen (Min.)"
"Titel","Titel"
"Title","Titel"
"Title of the payment method","Name der Zahlungsmethode"
"To use the RealVault some banks require additional security measures to make sure that the customer account can not be used by an attacker. With this option you can control, what measure is applied. Either the CVC can be asked always or the delivery address is checked, if it is the same as in the initial transaction.","Um ReaulVault zu benutzen benötigen manche Banken zusätzliche Sicherheitsmassnahmen um sicherzustellen, dass der Kundenaccount nicht missbraucht werden kann. Mit dieser Option können Sie festlegen, welche Massnahmen angewendet werden sollen. Entweder kann die CVC abgefragt werden oder die Lieferadresse wird auf Übereinstimmung mit der ersten Bestellung überprüft."
"Total","Total"
"Total Shipping Charges","Total Lieferkosten"
"Track order history","Getätigte Bestellungen verfolgen"
"Transaction","Transaktion"
"Transaction Authorized","Transaktion autorisiert"
"Transaction Cancelled","Transaktion storniert"
"Transaction Captured","Transaktion verbucht"
"Transaction History","Transaktionsverlauf"
"Transaction ID Prefix","Präfix für die Transaktions-ID"
"Transaction Id","Transaktions-ID"
"Transaction Paid","Transaktion bezahlt"
"Transaction Uncertain","Transaktion ist unsicher"
"Transaction Updates","Transaktionsupdates"
"Transaction cancelled successfully","Die Transaktion wurde erfolgreich abgebrochen."
"Transaction captured successfully","Die Transaktoin wurde erfolgreich verbucht."
"Transaction history","Transaktionsübersicht"
"Transaction was authorized over the deferred authorization mechanism.","Die Transaktion wurde über den verzägerten Autorisierungsmechanismus autorisiert."
"Transactions","Transaktionen"
"Transactions with one of the selected statuses will be marked as certain. Uncertain transactions need manual confirmation by the merchant. This service only works for UK cardholders as it uses the street address and postcodes of the cardholders. The Realauth redirect service supports AVS where it is supported by the merchant’s acquiring bank and the cardholder’s issuing bank. If a transaction fails an AVS check it will not automatically be declined by your bank. It is an advisory service and requires that the details of non matched transactions be checked by the merchant.","Transaktionen mit einem der ausgewählten Status werden als unsicher markiert. Unsichere Transaktionen benötigen eine manuelle Konfirmation durch den Händler. Dieses Angebot gilt nur für Karteninhaber aus Grossbritannien, da es Strassennamen und Postleitzahlen benutzt. Der Realauth Redirect Service unterstützt AVS sofern es auch von der Bank des Händlers und der Bank des Karteninhabers akzeptiert wird. Falls der AVS Check einer Transaktion fehlschlägt, wird diese nicht automatisch von Ihrer Bank abgelehnt. Es ist ein beratender Service und die Details der Transaktion müssen vom Händler überprüft werden."
"Transactions with one of the selected statuses will be marked as certain. WARNING: Uncertain transactions by the definition of Realex Payments (default value) are not covered by the credit card company, the merchant carries the risk. Nevertheless some merchants prefer to take some risk instead of checking uncertain transactions manually.","Transaktionen mit einem der gewählten Status werden als sicher markiert. WARNUNG: Von Realex als unsicherer definierte Transaktionen (Standardwert) werden von dem Kreditkartenunternehmen nicht versichert, der Händler trägt das Risiko. Dennoch entscheiden sich einige Händler dafür, dieses Risiko einzugehen anstatt unsichere Transaktionen manuell zu überprüfen."
"U: Unable to check (not certified etc)","U: Unable to check (not certified etc.)"
"URLs","URLs"
"Unable to save the invoice.","Die Rechnung konnte nicht gespeichert werden."
"Uncertain Status","Unsicherer Status"
"Uncertain transactions","Unsichere Transaktionen"
"Update","Update"
"Update Qtys","Menge aktualisieren"
"Update interval for payments","Update Intervall für Zahlungen"
"Update order and transaction information over cron.","Bestellung- und Transaktionsinformationen über Cron aktualisieren."
"Update process by accessing the update URL or by invoking in the admin interface.","Prozess aktualisieren durch Zugriff auf die Update URL oder durch Aufruf der Administrationsoberfläche"
"Use Base Currency","Basiswährung verwenden"
"Use Default","Standardeinstellungen benutzen"
"Use base currency","Zahlung in der Standard Währung setteln."
"VISA","VISA"
"Validation","Validierung"
"Version","Version"
"View","Anzeigen"
"Wait On Success Page","Auf der Success Seite warten"
